entry_id,account_id,date,amount,type,description
158,6,2025-07-13,13847.49,Credit,Response compare new.
159,6,2024-10-20,23909.98,Debit,Environmental tax military year.
160,6,2025-05-19,45190.64,Credit,Matter trouble for case decade.
161,6,2024-10-16,39737.37,Credit,Forward rock price eight picture.
162,6,2024-08-08,1949.08,Credit,Approach heart answer energy ball race.
163,6,2025-03-20,13383.71,Credit,Few throw answer.
164,6,2025-02-04,27763.86,Credit,Institution condition receive recognize.
165,6,2024-10-27,15303.08,Credit,Television word responsibility.
166,6,2025-01-21,22923.04,Debit,Here leg one.
167,6,2024-09-20,1988.83,Debit,Collection various pretty field.
168,6,2025-01-22,33147.0,Debit,Stock eye little.
169,6,2024-08-02,3199.29,Credit,Catch your across health reason note.
170,6,2024-10-11,23628.72,Debit,Box cut interview single.
171,6,2025-06-08,39416.29,Credit,Reach up amount product it.
172,6,2025-04-13,13281.26,Credit,Toward offer whom both.
173,6,2025-04-19,15852.47,Credit,Outside trouble candidate Congress.
174,6,2024-12-26,20967.27,Debit,City sure but teach central.
175,6,2025-03-21,29981.28,Debit,Imagine town administration watch include everything.
176,6,2025-05-05,340.74,Credit,Free history close.
177,6,2024-09-09,33252.71,Credit,Suffer box member.
178,6,2025-06-01,32626.18,Credit,Within throw ball concern she.
179,6,2025-07-09,38887.98,Credit,Myself half subject movement anything.
180,6,2024-11-03,35853.48,Credit,Part between role.
181,6,2024-08-09,11487.26,Credit,Their together let student around.
182,6,2024-11-15,34441.41,Debit,Institution year focus always.
183,6,2024-08-16,49133.03,Credit,Resource already policy person six all.
184,6,2025-01-05,46584.36,Debit,Open worker lead.
185,6,2025-05-03,17124.55,Debit,Individual political report teach system.
186,6,2025-04-10,41394.0,Credit,Democrat idea pull animal occur break.
187,6,2024-08-08,13977.49,Debit,Show impact carry military structure fast.
188,6,2025-03-31,10449.41,Credit,Bed director man not or film.
189,6,2024-12-30,20201.54,Credit,Join model member politics.
190,6,2025-03-06,44459.65,Debit,Yard drug condition rather sit.
191,6,2024-08-26,20688.46,Credit,Thank safe material this season represent.
192,7,2025-07-02,11409.16,Debit,School fund interest.
193,7,2025-05-18,16454.55,Credit,Down most federal Mr still charge.
194,7,2025-05-16,12795.27,Debit,Necessary every relationship during bed.
195,7,2025-04-30,25305.0,Credit,Become federal significant throw end.
196,7,2024-11-29,8168.01,Credit,There drop chair look team trip.
197,7,2025-05-05,44391.72,Credit,Imagine shake become everything power article.
198,7,2025-05-16,12234.6,Credit,Process your or.
199,7,2025-07-08,10757.4,Credit,Specific piece fill along child attack.
200,7,2024-10-23,34531.8,Credit,News involve sister run.
201,7,2025-05-28,36297.96,Debit,Successful food hundred difference increase your.
202,7,2025-04-29,15825.33,Debit,Since throw church.
203,7,2024-08-30,40296.14,Debit,Nation tree might expect.
204,7,2025-01-15,39206.5,Debit,Choice production total.
205,7,2025-04-01,14695.35,Debit,Easy discuss usually issue detail weight.
206,7,2024-11-17,37963.59,Credit,Ground few door paper those many.
207,7,2024-10-25,17241.39,Credit,Material test support far.
208,7,2024-08-28,42580.24,Credit,Special consider tend job.
209,7,2025-03-12,13866.17,Credit,Scene development study executive through top.
210,7,2025-07-14,42703.14,Credit,Minute mean draw see medical term.
211,7,2024-08-08,10238.51,Credit,Character do let consider.
212,8,2025-04-24,46725.07,Debit,Than development successful fine.
213,8,2025-05-18,25729.93,Credit,Whom relationship entire man test option.
214,8,2024-09-18,4831.5,Debit,Keep meeting policy enjoy purpose ago.
215,8,2024-12-06,6726.77,Debit,Talk entire reach nearly perhaps particularly.
216,8,2025-01-24,35689.51,Credit,Magazine center sort cultural suddenly common.
217,8,2025-05-15,1715.68,Credit,Imagine event person.
218,8,2025-01-16,8563.13,Credit,Back probably significant.
219,8,2024-12-13,16607.37,Debit,Still company wear structure person drug.
220,8,2025-04-26,16146.68,Credit,Himself religious animal.
221,8,2024-08-23,38468.21,Credit,Boy would whose up.
222,8,2025-06-17,39323.82,Credit,Great executive standard.
223,8,2024-10-28,21179.62,Credit,Behind avoid push job sense will.
224,8,2024-10-11,28243.85,Credit,Sit character feel pass ball pick.
225,8,2025-04-09,8529.95,Credit,Perform nor during nothing win partner.
226,8,2025-01-31,46192.51,Credit,Program impact note.
227,8,2024-10-01,40780.07,Credit,Participant edge lot turn ask tonight.
228,8,2024-12-18,15668.11,Debit,Walk he lawyer.
229,8,2025-06-22,45215.61,Credit,Speak speak five century.
230,8,2024-09-16,1729.59,Credit,People second officer action.
231,8,2025-01-10,2161.9,Credit,By no camera politics star time.
232,8,2025-03-29,19272.85,Debit,Story away beautiful ball happy us.
233,8,2025-04-26,33667.96,Credit,She evening else.
234,8,2025-07-29,9549.29,Debit,Fact apply movie size.
235,8,2025-06-09,20225.79,Credit,Water determine employee middle.
236,8,2024-09-28,44650.96,Credit,Trial listen that hair student.
237,8,2024-09-05,42221.98,Debit,Before firm section remain.
238,8,2025-05-18,5955.26,Credit,Amount issue consider.
239,8,2024-09-03,27399.64,Credit,Hotel beat tough apply prepare run.
240,8,2025-04-05,31425.39,Credit,Ask student professor wide resource.
241,8,2025-03-24,43859.35,Debit,Somebody rise camera.
242,8,2025-02-14,8504.59,Debit,Must often oil.
243,8,2025-05-17,17708.0,Debit,Figure authority enter event become thing.
244,9,2025-04-11,21457.8,Debit,Have approach run.
245,9,2025-05-25,38803.22,Credit,Reflect training share.
246,9,2025-01-09,39144.57,Debit,Around expert imagine by.
247,9,2024-09-08,2540.93,Credit,Media own star.
248,9,2025-01-25,43926.31,Debit,Who discover more most see.
249,9,2024-08-16,7125.54,Debit,Son beat central.
250,9,2024-07-31,46151.28,Credit,Test stage spring behind.
251,9,2025-03-19,32853.03,Credit,Arm audience military behavior.
252,9,2024-12-06,32453.45,Debit,Use individual experience wrong second six.
253,9,2025-07-28,10593.2,Debit,Hard hour else group relate.
254,9,2025-04-29,10604.23,Credit,Perhaps while majority Mr allow star.
255,9,2025-02-24,23493.65,Credit,Them major put.
256,9,2025-07-06,33812.74,Credit,As make adult.
257,9,2024-12-27,43408.03,Debit,Start claim hair.
258,9,2024-11-18,49836.03,Credit,World sense perform nature father.
259,9,2025-01-26,39638.95,Credit,Measure tend sign measure teach.
260,9,2025-06-02,27237.04,Debit,Enjoy training professional life.
261,9,2024-08-11,22832.86,Debit,Girl technology girl tonight.
262,9,2025-06-25,6728.59,Debit,Effect ball everybody camera wide within.
263,9,2024-08-16,22207.59,Credit,Face wonder sound.
264,9,2025-04-07,1716.2,Debit,Democrat general rich.
265,9,2025-07-06,36665.23,Credit,Ahead step social quickly.
266,9,2024-10-09,42353.86,Debit,Realize whose agent them body.
267,9,2025-01-05,23189.31,Credit,Structure about seek structure.
268,9,2024-09-07,12022.41,Credit,Data live say trial wait method.
269,9,2025-05-01,35263.0,Debit,South move though shoulder.
270,9,2024-10-24,8695.43,Credit,Each result give focus.
271,9,2024-10-18,38992.18,Credit,Final above use unit.
272,9,2024-09-06,13255.0,Debit,To begin fine without various.
273,9,2024-11-21,34534.73,Credit,Military way nation list together our.
274,9,2024-12-19,28908.77,Debit,Truth which model parent speak fund.
275,9,2025-07-15,27210.64,Debit,Expert when writer remain idea same.
276,9,2025-01-13,34489.35,Credit,Must draw significant.
277,9,2024-08-24,5845.08,Debit,Church better force picture about sister.
278,9,2024-08-05,21710.04,Credit,Remain usually four five whatever.
279,9,2024-09-05,47926.75,Debit,Set type pattern.
280,9,2025-01-02,4083.14,Credit,Stock question go memory.
281,10,2025-05-11,44697.44,Credit,Vote safe environment itself with.
282,10,2025-07-04,34743.3,Debit,Act school happen truth myself table.
283,10,2025-06-25,868.04,Credit,College sit particular environment same science.
284,10,2024-12-12,21231.1,Credit,By tough car.
285,10,2025-04-15,12857.84,Debit,Difference buy investment public guess.
286,10,2024-08-16,43910.2,Credit,Region because if visit.
287,10,2024-08-12,33178.96,Debit,Fact long cover.
288,10,2024-08-13,32997.66,Debit,Southern its question.
289,10,2025-04-11,18439.21,Debit,Language none night significant you mission.
290,10,2024-09-23,27129.2,Credit,Opportunity prove activity although easy.
291,10,2025-01-30,19320.03,Debit,Drop market nice protect yet.
292,10,2025-05-09,37848.04,Credit,Guy responsibility end action.
293,10,2025-03-24,46499.56,Credit,Year wall few.
294,10,2025-02-20,27302.77,Credit,Final away moment firm shake nice.
295,10,2025-03-04,19580.78,Debit,Worry maybe there particular garden.
296,10,2024-09-21,15800.66,Debit,Again number possible check kitchen campaign.
297,10,2025-06-20,4419.36,Debit,Day guess green individual happen.
298,10,2025-06-02,25670.73,Credit,Culture ago environment cultural describe majority.
299,10,2025-01-13,45884.86,Debit,Doctor along race administration center religious.
300,10,2025-04-18,12190.79,Debit,Exactly goal television team wife culture.
301,10,2025-06-07,42621.32,Credit,Seek concern economy everything four.
302,10,2025-05-24,21456.67,Debit,This woman science blood.
303,10,2024-08-14,38256.19,Debit,Strategy somebody training.
304,10,2025-02-18,29001.58,Credit,Sometimes show ever.
305,10,2025-05-17,49221.28,Credit,American especially work figure kitchen.
306,10,2025-03-18,21567.8,Debit,Anything treat fight issue.
307,10,2025-04-18,24176.09,Credit,Street week information.
308,10,2024-09-23,17456.19,Debit,Relate physical glass bag hold.
309,10,2024-12-11,16693.24,Credit,Natural key fish.
310,10,2025-07-21,39566.4,Debit,Recognize pull girl condition.
311,10,2024-09-16,41284.28,Credit,Cup old significant.
312,10,2025-05-07,39295.31,Debit,Spend summer item various less challenge.
313,10,2025-03-16,31943.54,Credit,News especially lot around.
314,10,2025-05-22,41958.66,Credit,Building house million note.
315,10,2025-05-04,458.0,Debit,Green front middle want side hear.
316,10,2025-06-09,41464.08,Credit,Maintain like child letter production senior.
317,10,2024-11-22,27422.64,Credit,Matter effort store cut.
318,10,2024-10-04,5343.37,Debit,Style choose floor about.
319,10,2025-01-17,13390.22,Debit,Question investment mission behind.
320,10,2024-09-16,37774.88,Debit,Must money think.
321,10,2024-12-13,18308.33,Debit,Camera that save.
322,10,2025-07-06,29284.77,Credit,Service same food.
323,11,2025-06-05,46588.61,Debit,Agent hospital drug explain one part.
324,11,2025-02-26,5744.51,Credit,Seek clearly cover me six himself.
325,11,2025-01-06,3479.27,Debit,Remember pressure imagine several.
326,11,2025-04-25,27294.84,Debit,Wrong seven peace feeling nor language.
327,11,2025-03-13,33866.98,Debit,Adult series very course.
328,11,2024-12-02,4705.22,Debit,Soon surface really organization close level.
329,11,2024-11-12,23594.2,Debit,Computer note then.
330,11,2025-04-07,42844.65,Credit,Democrat gas as lot.
331,11,2024-11-29,11691.12,Debit,Indeed side offer near name hundred.
332,11,2024-12-19,33578.63,Credit,Grow until building beyond.
333,11,2025-03-29,34109.62,Credit,Lose two Republican eye nature ability.
334,11,2025-07-28,38676.31,Debit,Politics conference attorney send step.
335,11,2025-01-27,16513.4,Credit,Every few method statement thought.
336,11,2024-10-14,29797.39,Credit,Politics avoid piece daughter organization.
337,11,2024-12-29,17222.79,Credit,Until place I black oil know.
338,11,2024-12-31,12634.75,Debit,Floor born consumer institution.
339,11,2025-03-05,21121.63,Credit,Name fall option he.
340,11,2025-06-15,3267.87,Debit,Oil big through.
341,11,2024-08-14,47688.81,Credit,Remain one support.
342,11,2024-10-11,18452.39,Credit,Government whatever art section.
343,11,2025-05-06,23301.45,Debit,His purpose share.
344,11,2025-04-03,8495.54,Debit,Tree tax those piece issue.
345,11,2024-10-03,47141.01,Debit,Reflect result media world down.
346,11,2025-01-20,17852.4,Debit,Easy require role.
347,11,2025-02-26,14337.36,Credit,Simply bed vote among.
348,11,2024-09-06,6295.76,Credit,Assume hour friend require investment.
349,11,2025-05-25,27385.14,Debit,Phone tough clear.
350,11,2025-01-16,5310.87,Credit,First activity trouble never.
351,11,2025-02-20,34218.31,Credit,Dark some base front top.
352,11,2024-10-24,8327.61,Debit,Together note lead nation thousand.
353,11,2025-03-06,612.04,Debit,Involve technology someone.
354,11,2025-07-28,8810.48,Credit,Police cold back break natural once.
355,11,2024-09-20,26470.5,Credit,Leave better writer down place man.
356,11,2024-12-31,35355.59,Debit,Because study anything sell teach relate.
357,11,2025-05-13,33511.11,Debit,Stage significant your which.
358,11,2025-04-17,21872.2,Debit,High benefit stage.
359,11,2024-08-09,34059.95,Credit,Receive around allow.
360,11,2025-01-28,48423.51,Debit,Fall back person.
361,11,2025-05-03,7065.33,Credit,Upon drop product require your resource.
362,11,2025-06-01,38980.14,Debit,Also matter family human bag.
363,11,2024-08-13,13008.47,Debit,Choose edge laugh through.
364,11,2024-09-23,36026.52,Credit,Group claim past much yeah environment.
365,11,2024-11-07,11824.12,Credit,Place game authority.
366,11,2024-09-18,4207.14,Debit,Especially nature such paper.
367,12,2024-10-02,20440.93,Debit,Approach professional sure use guess.
368,12,2024-08-01,4294.72,Credit,Bar foreign bank.
369,12,2025-02-04,3737.38,Debit,Whole image or wait political none.
370,12,2024-12-21,28943.8,Debit,Go cover never group.
371,12,2024-12-08,36917.6,Debit,Successful other send tree catch view.
372,12,2024-10-25,36902.44,Credit,Personal society type design trip both pay.
373,12,2024-11-05,13180.23,Credit,Military age plant.
374,12,2025-02-25,1536.81,Debit,Level argue happy peace.
375,12,2024-09-03,41440.14,Credit,Meeting here your song piece.
376,12,2024-11-08,31954.17,Credit,Choose military team see catch.
377,12,2025-02-25,30740.43,Debit,Everything kitchen radio.
378,12,2025-02-18,47079.42,Credit,Culture different concern source.
379,12,2025-05-20,31880.79,Debit,May away page mean investment.
380,12,2025-07-24,10581.26,Debit,Suggest score south.
381,12,2024-12-23,41012.85,Debit,Crime talk method similar result.
382,12,2025-05-26,48231.72,Debit,Do able budget material behavior in.
383,12,2024-10-15,12976.22,Debit,Exactly report skin win.
384,12,2024-11-01,43281.21,Debit,Evening organization door green pull.
385,12,2025-01-15,23341.07,Credit,Wrong treat community forward ask.
386,12,2024-08-13,40620.56,Credit,Any century movement knowledge add.
387,12,2025-01-18,46210.34,Credit,Picture happy meet charge finish.
388,12,2025-06-16,28982.61,Credit,Animal require space.
389,12,2024-10-31,22283.76,Credit,Decision officer really million while kitchen.
390,12,2024-09-18,11684.71,Debit,Inside leave foot travel stuff.
391,12,2024-10-28,48092.93,Debit,Young fight realize condition.
392,12,2025-03-20,34868.0,Debit,Political special fish federal.
393,12,2025-06-08,43639.38,Credit,Fill him catch project stuff.
394,12,2025-05-16,44037.98,Credit,Pattern have adult score.
395,12,2025-06-09,9504.14,Credit,Every moment decade.
396,12,2025-07-28,7486.0,Credit,Feeling new glass management.
397,12,2024-11-13,48459.0,Debit,Mr stuff radio magazine.
398,12,2025-05-09,1804.15,Debit,Middle who with argue as among.
399,12,2025-07-06,39410.14,Credit,Site hot power.
400,12,2025-06-25,6319.38,Credit,Natural yes walk less culture affect.
401,12,2024-08-05,2874.28,Credit,Enjoy yeah issue college own.
402,13,2025-02-14,18561.03,Credit,Recently woman fall financial on summer.
403,13,2024-09-21,47359.85,Debit,Mention nature whole thus ready trouble.
404,13,2024-11-14,28128.03,Credit,Mean money bank consider.
405,13,2025-04-01,46736.97,Debit,Capital career certainly.
406,13,2025-06-09,5492.3,Debit,Individual response difference sport deep my.
407,13,2025-06-19,39562.2,Credit,Author scene research improve.
408,13,2025-05-11,4803.9,Debit,Chance forward audience minute month.
409,13,2025-01-29,48182.03,Credit,Value alone civil all large art.
410,13,2025-01-10,6778.84,Debit,Trade house news.
411,13,2025-05-07,36310.49,Credit,Politics will feel religious water.
412,13,2025-01-05,37521.13,Credit,Management challenge final foot soon.
413,13,2025-01-07,32961.08,Credit,Group establish institution enough us set.
414,13,2024-09-29,32570.15,Credit,Memory director after prove dark page.
415,13,2024-09-25,9811.21,Credit,Minute his bar scene message.
416,13,2025-04-29,37294.37,Credit,Size fine glass.
417,13,2024-10-19,45356.34,Debit,Kind institution experience middle thousand ever.
418,13,2025-05-30,24936.04,Debit,Property commercial add ball support area.
419,13,2025-03-19,25721.11,Credit,Detail deep contain these artist voice.
420,13,2024-08-15,25669.83,Debit,Argue continue ground cup.
421,13,2024-12-11,16947.96,Debit,Responsibility prevent affect single week itself.
422,13,2025-04-22,5714.37,Credit,Herself responsibility there wonder garden less.
423,13,2024-08-14,32748.21,Credit,Money article to statement soldier.
424,13,2025-05-05,15763.32,Credit,Score know drive.
425,13,2025-01-07,37305.38,Debit,Least conference simple continue.
426,13,2025-05-26,3303.5,Credit,Yes quality treat accept significant song.
427,13,2025-03-10,30228.15,Debit,Simple entire nature.
428,13,2025-05-05,17916.4,Credit,Kind modern raise camera country.
429,13,2025-04-18,34957.63,Debit,Property body bring north.
430,13,2025-01-07,20358.98,Credit,Less attack city trial party thousand.
431,13,2025-05-09,2079.79,Debit,Ready physical simply family many.
432,13,2025-01-09,40331.02,Debit,House music remain better.
433,13,2025-05-12,31410.11,Debit,Difficult major poor.
434,13,2024-12-28,34292.08,Debit,Performance word least.
435,13,2024-08-16,30630.27,Debit,Least white painting.
436,13,2025-06-16,24277.0,Credit,Surface perhaps try or.
437,13,2025-01-10,46920.97,Credit,Not stop everything.
438,13,2024-12-21,23131.41,Debit,Bill image my current.
439,13,2025-02-21,42856.68,Credit,Collection nothing off.
440,14,2024-08-29,15922.69,Credit,Red alone indeed.
441,14,2025-01-27,39904.07,Debit,Air ahead eye.
442,14,2024-08-31,29009.97,Debit,Including place friend build read commercial.
443,14,2024-11-18,25079.79,Credit,Avoid kitchen example.
444,14,2024-11-16,3636.98,Debit,Possible window else moment visit test.
445,14,2025-02-03,19293.48,Credit,Box anyone federal specific.
446,14,2024-09-01,30452.56,Credit,By movement week.
447,14,2025-07-25,39289.08,Debit,Enough third environment response.
448,14,2024-10-15,13044.72,Debit,Interview home growth response current.
449,14,2024-12-24,24762.83,Credit,Of collection health.
450,14,2024-08-15,38364.4,Credit,By theory citizen deep west world.
451,14,2025-01-31,42108.41,Credit,Would expect agent someone manager.
452,14,2025-01-12,31454.11,Credit,Inside either main together.
453,14,2024-12-26,8788.23,Debit,Evidence yourself total drop become.
454,14,2024-11-08,46621.66,Credit,His cold song firm job send.
455,14,2024-08-20,4098.6,Credit,Mr region environment.
456,14,2025-05-12,21292.68,Credit,Current clearly policy his theory.
